Participant,Task #,Actual Path,Reached Goal,# Valid Steps,# Invalid Steps,Total Steps,Deviation Points
7,6,library website -> services for students -> databases a-z -> academic search complete -> academic search,Yes,3,1,4,databases a-z -> academic search complete
8,1,library website -> study spaces -> study spaces page,No,0,2,2,library website -> study spaces; study spaces -> study spaces page
8,2,library website -> study spaces -> study spaces page -> next -> space x time -> end time -> submit,Yes,5,0,5,
8,3,library website -> one search -> search -> book page -> book,Yes,3,0,3,
8,4,library website -> one search -> search -> book page -> book -> sign in -> request item -> pick up location -> send request,Yes,7,0,7,
8,5,library website -> connect with dvc library -> contact page -> email,Yes,2,0,2,
8,6,library website -> services for students -> databases a-z -> academic search complete -> academic search,Yes,3,1,4,databases a-z -> academic search complete
9,1,library website -> about -> today's hours -> opening hours page,Yes,1,1,2,about -> today's hours
9,2,library website -> use the library -> study spaces -> study spaces page -> next -> space x time -> end time -> submit,Yes,6,0,6,
9,3,library website -> textbooks -> search -> book page -> book,Yes,3,0,3,
9,4,library website -> use the library -> borrow library materials -> how do i borrow materials from another library? -> interlibrary loan request form,No,1,3,4,use the library -> borrow library materials; borrow library materials -> how do i borrow materials from another library?; how do i borrow materials from another library? -> interlibrary loan request form
9,5,library website -> about -> contact us -> contact page -> call,Yes,3,0,3,
9,6,library website -> one search -> search -> book page -> article,No,0,4,4,library website -> one search; one search -> search; search -> book page; book page -> article
10,1,library website -> about -> visit the library -> return -> library website,No,1,3,4,about -> visit the library; visit the library -> return; return -> library website
10,2,library website -> services for students -> reserve a study space -> study rooms -> study spaces page -> next -> space x time -> end time -> submit,Yes,6,2,8,reserve a study space -> study rooms; study rooms -> study spaces page
10,3,library website -> one search -> search -> book page -> book,Yes,3,0,3,
10,4,library website -> one search -> search -> book page -> textbooks / reserves -> request books -> how do i borrow materials from another library? -> interlibrary loan request form,No,2,4,6,book page -> textbooks / reserves; textbooks / reserves -> request books; request books -> how do i borrow materials from another library?; how do i borrow materials from another library? -> interlibrary loan request form
10,5,library website -> services for students -> ask a librarian -> contact page -> chat,Yes,3,0,3,
10,6,library website -> research -> databases a-z -> databases page -> subjects -> types -> academic search complete -> academic search,Yes,3,3,6,databases page -> subjects; subjects -> types; types -> academic search complete
11,1,library website -> today's hours -> opening hours page,Yes,1,0,1,
11,2,library website -> use the library -> study spaces -> study spaces page -> next -> space x time,No,4,0,4,
11,3,library website -> research -> use the library -> one search -> search -> book page -> scope -> textbooks -> search -> book,Yes,2,6,8,library website -> research; research -> use the library; use the library -> one search; book page -> scope; scope -> textbooks; search -> book
11,4,library website -> textbooks -> one search -> search -> book page -> book -> 24/7 ask a librarian,No,2,3,5,library website -> textbooks; textbooks -> one search; book -> 24/7 ask a librarian
11,5,library website -> ask a librarian,Yes,1,0,1,
11,6,library website -> one search -> research guides -> go to a-z list -> databases page -> academic search complete -> academic search,Yes,3,2,5,library website -> one search; one search -> research guides
12,1,library website -> about -> visit the library -> use the library -> ask a librarian,No,1,3,4,about -> visit the library; visit the library -> use the library; use the library -> ask a librarian
12,2,library website -> use the library -> study spaces -> study spaces page -> next -> space x time -> end time -> submit,Yes,6,0,6,
12,3,library website -> one search -> search -> book page -> book,Yes,3,0,3,
12,4,library website -> one search -> search -> book page -> book -> sign in -> request item -> pick up location -> send request,Yes,7,0,7,
12,5,library webiste -> text,Yes,1,0,1,library webiste -> text
12,6,library website -> one search -> research -> databases a-z -> databases page -> academic search complete -> academic search,Yes,3,2,5,library website -> one search; one search -> research
